Args got
indir None
outdir /home/ec2-user/ThermoDrift/experiments/trainv5/
Data loaded
ESM1b loaded
Classifier, optimizer, and criterion compiled
Using device cuda:0
Moved tensors to cuda:0
Dataloaders built
Number of parameters classifier:  172419
outputs [[0.336640864610672, 0.32319995760917664, 0.34015917778015137]]  lables [2]
outputs [[0.3333739638328552, 0.3305700123310089, 0.33605605363845825]]  lables [0]
outputs [[0.33312007784843445, 0.32690149545669556, 0.3399784564971924]]  lables [0]
outputs [[0.33286434412002563, 0.3358514904975891, 0.33128413558006287]]  lables [2]
outputs [[0.3311638832092285, 0.3305604159832001, 0.33827564120292664]]  lables [1]
outputs [[0.33263111114501953, 0.32082274556159973, 0.34654614329338074]]  lables [1]
outputs [[0.32940584421157837, 0.3278465270996094, 0.34274762868881226]]  lables [1]
outputs [[0.33691489696502686, 0.3221738636493683, 0.3409111797809601]]  lables [1]
outputs [[0.33325254917144775, 0.3191925287246704, 0.3475549519062042]]  lables [0]
outputs [[0.3325701951980591, 0.3283591568470001, 0.3390706181526184]]  lables [2]
outputs [[0.33270126581192017, 0.3226255178451538, 0.34467315673828125]]  lables [2]
outputs [[0.3236154615879059, 0.3377717137336731, 0.33861279487609863]]  lables [2]
outputs [[0.33523672819137573, 0.3268151581287384, 0.33794811367988586]]  lables [2]
outputs [[0.3316165804862976, 0.32141920924186707, 0.3469642698764801]]  lables [0]
outputs [[0.3300734758377075, 0.3305867612361908, 0.33933982253074646]]  lables [2]
outputs [[0.3267384171485901, 0.33195024728775024, 0.3413113057613373]]  lables [2]
outputs [[0.3283883333206177, 0.3248985707759857, 0.3467130959033966]]  lables [1]
outputs [[0.3324752449989319, 0.32781827449798584, 0.3397064208984375]]  lables [2]
outputs [[0.3350612223148346, 0.32973238825798035, 0.33520641922950745]]  lables [1]
outputs [[0.33728310465812683, 0.32344019412994385, 0.33927667140960693]]  lables [0]
outputs [[0.3292528986930847, 0.3270024359226227, 0.34374475479125977]]  lables [0]
outputs [[0.3281935751438141, 0.3310459852218628, 0.34076040983200073]]  lables [0]
outputs [[0.3296907842159271, 0.33097368478775024, 0.33933550119400024]]  lables [0]
outputs [[0.3244064152240753, 0.3266140818595886, 0.34897950291633606]]  lables [1]
outputs [[0.3416696786880493, 0.3304654657840729, 0.3278648555278778]]  lables [2]
outputs [[0.33119115233421326, 0.31371790170669556, 0.3550909757614136]]  lables [2]
outputs [[0.33271488547325134, 0.33795565366744995, 0.3293294906616211]]  lables [2]
outputs [[0.33257246017456055, 0.3225606679916382, 0.3448668122291565]]  lables [1]
outputs [[0.33568093180656433, 0.32344478368759155, 0.34087422490119934]]  lables [2]
outputs [[0.3318500816822052, 0.33388566970825195, 0.33426421880722046]]  lables [2]
outputs [[0.3349265456199646, 0.3279002010822296, 0.3371732532978058]]  lables [0]
outputs [[0.33787912130355835, 0.32376256585121155, 0.3383582830429077]]  lables [1]
outputs [[0.33361515402793884, 0.32696521282196045, 0.3394196331501007]]  lables [2]
outputs [[0.3454803228378296, 0.3308812379837036, 0.3236384689807892]]  lables [1]
outputs [[0.3385475277900696, 0.3250705599784851, 0.3363819122314453]]  lables [0]
outputs [[0.3374348282814026, 0.3315819799900055, 0.3309832513332367]]  lables [1]
outputs [[0.32937049865722656, 0.33068904280662537, 0.3399404287338257]]  lables [0]
outputs [[0.3383414149284363, 0.3423740565776825, 0.319284588098526]]  lables [0]
outputs [[0.3336735963821411, 0.316619336605072, 0.34970706701278687]]  lables [0]
outputs [[0.33373281359672546, 0.32962766289711, 0.33663949370384216]]  lables [2]
outputs [[0.33476248383522034, 0.3355390727519989, 0.32969844341278076]]  lables [1]
outputs [[0.33396732807159424, 0.3254033327102661, 0.34062936902046204]]  lables [2]
outputs [[0.33210664987564087, 0.3199130892753601, 0.34798023104667664]]  lables [0]
outputs [[0.3379201591014862, 0.3152156472206116, 0.346864253282547]]  lables [0]
outputs [[0.3302939832210541, 0.3269329071044922, 0.3427731692790985]]  lables [0]
outputs [[0.33085405826568604, 0.32013314962387085, 0.3490127623081207]]  lables [0]
outputs [[0.32958558201789856, 0.3274482488632202, 0.3429661989212036]]  lables [1]
outputs [[0.3277108073234558, 0.32540401816368103, 0.34688520431518555]]  lables [1]
outputs [[0.33756375312805176, 0.3228796422481537, 0.33955663442611694]]  lables [0]
outputs [[0.3278675675392151, 0.31737253069877625, 0.3547598719596863]]  lables [2]
outputs [[0.33515405654907227, 0.3171612024307251, 0.34768474102020264]]  lables [1]
outputs [[0.3293326795101166, 0.32754161953926086, 0.34312570095062256]]  lables [0]
outputs [[0.3367583155632019, 0.3366917073726654, 0.3265500068664551]]  lables [1]
outputs [[0.32364141941070557, 0.33957597613334656, 0.3367826044559479]]  lables [1]
outputs [[0.3377958834171295, 0.3163178265094757, 0.34588631987571716]]  lables [0]
outputs [[0.33117300271987915, 0.325400710105896, 0.343426376581192]]  lables [1]
outputs [[0.32634851336479187, 0.3365076184272766, 0.3371439576148987]]  lables [0]
outputs [[0.3365279734134674, 0.32810524106025696, 0.33536678552627563]]  lables [2]
outputs [[0.33315300941467285, 0.32032015919685364, 0.3465268611907959]]  lables [1]
outputs [[0.33582672476768494, 0.3229140341281891, 0.34125930070877075]]  lables [1]
outputs [[0.3359122574329376, 0.3198489546775818, 0.3442387580871582]]  lables [2]
outputs [[0.3358357846736908, 0.32552042603492737, 0.33864375948905945]]  lables [0]
outputs [[0.33175620436668396, 0.3258075416088104, 0.3424362540245056]]  lables [0]
outputs [[0.3320677876472473, 0.3198525011539459, 0.3480796813964844]]  lables [2]
outputs [[0.33038729429244995, 0.3243922293186188, 0.3452204763889313]]  lables [2]
outputs [[0.3371657133102417, 0.3164891004562378, 0.3463452458381653]]  lables [2]
outputs [[0.32801371812820435, 0.3325466811656952, 0.33943963050842285]]  lables [2]
outputs [[0.3353651463985443, 0.31658369302749634, 0.3480512201786041]]  lables [2]
outputs [[0.33266115188598633, 0.3244025409221649, 0.34293633699417114]]  lables [2]
outputs [[0.32877516746520996, 0.326039582490921, 0.345185250043869]]  lables [2]
outputs [[0.3343576490879059, 0.3178447186946869, 0.34779760241508484]]  lables [1]
outputs [[0.33018290996551514, 0.3268287181854248, 0.3429883122444153]]  lables [1]
outputs [[0.3280193507671356, 0.32750067114830017, 0.3444800078868866]]  lables [0]
outputs [[0.32945507764816284, 0.3209761083126068, 0.34956881403923035]]  lables [0]
outputs [[0.33915072679519653, 0.32527241110801697, 0.3355768620967865]]  lables [0]
outputs [[0.332614004611969, 0.3306277096271515, 0.3367582857608795]]  lables [2]
outputs [[0.3319573700428009, 0.323012113571167, 0.3450305163860321]]  lables [0]
outputs [[0.3241015374660492, 0.3337007164955139, 0.3421977460384369]]  lables [2]
outputs [[0.3335952162742615, 0.3359517753124237, 0.33045297861099243]]  lables [2]
outputs [[0.3318241536617279, 0.328243225812912, 0.3399326503276825]]  lables [0]
outputs [[0.3367301821708679, 0.31931087374687195, 0.3439589738845825]]  lables [0]
outputs [[0.3289404511451721, 0.3231809735298157, 0.3478786051273346]]  lables [2]
outputs [[0.3338073194026947, 0.3363369405269623, 0.32985571026802063]]  lables [2]
outputs [[0.3362249732017517, 0.3275284767150879, 0.3362465798854828]]  lables [1]
outputs [[0.33944380283355713, 0.3130289912223816, 0.3475271761417389]]  lables [0]
outputs [[0.34046339988708496, 0.334632933139801, 0.324903666973114]]  lables [2]
outputs [[0.33160245418548584, 0.32814499735832214, 0.34025251865386963]]  lables [1]
outputs [[0.3279089033603668, 0.31930917501449585, 0.35278192162513733]]  lables [1]
outputs [[0.3436189293861389, 0.3245692253112793, 0.3318118751049042]]  lables [1]
outputs [[0.33496415615081787, 0.3273037374019623, 0.33773210644721985]]  lables [2]
outputs [[0.3389471471309662, 0.3293682336807251, 0.3316846191883087]]  lables [1]
outputs [[0.3234167695045471, 0.33285656571388245, 0.34372660517692566]]  lables [0]
outputs [[0.33893251419067383, 0.3230539858341217, 0.3380134701728821]]  lables [0]
outputs [[0.33214491605758667, 0.3396366834640503, 0.32821834087371826]]  lables [1]
outputs [[0.3322063684463501, 0.31922194361686707, 0.34857165813446045]]  lables [0]
outputs [[0.3431151211261749, 0.3352363109588623, 0.32164856791496277]]  lables [0]
outputs [[0.33195701241493225, 0.32434698939323425, 0.3436959981918335]]  lables [2]
outputs [[0.33919069170951843, 0.31834477186203003, 0.34246453642845154]]  lables [1]
outputs [[0.32554295659065247, 0.3327335715293884, 0.3417234420776367]]  lables [1]
outputs [[0.32589292526245117, 0.3240776062011719, 0.35002949833869934]]  lables [1]
outputs [[0.34476494789123535, 0.33178454637527466, 0.3234505355358124]]  lables [0]
outputs [[0.3307405114173889, 0.3156493306159973, 0.3536101281642914]]  lables [2]
outputs [[0.32894614338874817, 0.33080950379371643, 0.340244323015213]]  lables [0]
outputs [[0.33535605669021606, 0.32303348183631897, 0.34161046147346497]]  lables [2]
outputs [[0.34041959047317505, 0.32971376180648804, 0.3298666477203369]]  lables [1]
outputs [[0.3355037271976471, 0.31835082173347473, 0.34614548087120056]]  lables [2]
outputs [[0.33964934945106506, 0.32628539204597473, 0.3340652883052826]]  lables [0]
outputs [[0.3321598172187805, 0.3292233645915985, 0.33861681818962097]]  lables [2]
outputs [[0.3323133587837219, 0.32258498668670654, 0.34510165452957153]]  lables [2]
outputs [[0.33267852663993835, 0.32686489820480347, 0.3404565453529358]]  lables [1]
outputs [[0.3349471986293793, 0.3265496492385864, 0.3385031521320343]]  lables [0]
outputs [[0.32534170150756836, 0.32833415269851685, 0.3463241457939148]]  lables [2]
outputs [[0.33187952637672424, 0.32615673542022705, 0.3419637084007263]]  lables [2]
outputs [[0.3281717598438263, 0.32820647954940796, 0.34362173080444336]]  lables [1]
outputs [[0.3314182460308075, 0.3277260959148407, 0.3408556282520294]]  lables [1]
outputs [[0.32710587978363037, 0.3222470283508301, 0.35064706206321716]]  lables [0]
outputs [[0.3273395001888275, 0.32121795415878296, 0.35144251585006714]]  lables [0]
outputs [[0.32976803183555603, 0.32201123237609863, 0.34822073578834534]]  lables [0]
outputs [[0.3246921896934509, 0.3284703493118286, 0.34683746099472046]]  lables [1]
outputs [[0.3370612859725952, 0.3223128318786621, 0.34062591195106506]]  lables [0]
outputs [[0.33140236139297485, 0.3247569799423218, 0.34384065866470337]]  lables [0]
outputs [[0.3302498757839203, 0.32106977701187134, 0.34868037700653076]]  lables [1]
outputs [[0.332812637090683, 0.3218415379524231, 0.3453458547592163]]  lables [2]
outputs [[0.33722537755966187, 0.34148287773132324, 0.3212917745113373]]  lables [1]
outputs [[0.33109867572784424, 0.32246673107147217, 0.3464345932006836]]  lables [2]
outputs [[0.3362627625465393, 0.33869922161102295, 0.32503801584243774]]  lables [2]
outputs [[0.33839845657348633, 0.31750360131263733, 0.34409797191619873]]  lables [2]
outputs [[0.32577604055404663, 0.3279840350151062, 0.34623998403549194]]  lables [1]
outputs [[0.32963263988494873, 0.3237093985080719, 0.346657931804657]]  lables [1]
outputs [[0.3304089605808258, 0.3198494017124176, 0.3497416377067566]]  lables [1]
outputs [[0.3346017599105835, 0.3159676194190979, 0.3494305908679962]]  lables [2]
outputs [[0.33185410499572754, 0.3177602291107178, 0.3503856360912323]]  lables [1]
outputs [[0.3257427513599396, 0.3322390913963318, 0.342018187046051]]  lables [1]
outputs [[0.33268535137176514, 0.3245511054992676, 0.3427635133266449]]  lables [2]
outputs [[0.3330320417881012, 0.32994019985198975, 0.33702772855758667]]  lables [0]
outputs [[0.32874417304992676, 0.32531026005744934, 0.3459455668926239]]  lables [0]
outputs [[0.33489835262298584, 0.3297702670097351, 0.33533138036727905]]  lables [2]
outputs [[0.3345130383968353, 0.31179818511009216, 0.3536888360977173]]  lables [1]
outputs [[0.3332226574420929, 0.3125132918357849, 0.3542640805244446]]  lables [2]
outputs [[0.33500048518180847, 0.32429248094558716, 0.3407069742679596]]  lables [1]
outputs [[0.33311256766319275, 0.3227638304233551, 0.34412360191345215]]  lables [1]
outputs [[0.3265666365623474, 0.3167282044887543, 0.3567051887512207]]  lables [2]
outputs [[0.33480775356292725, 0.3218078017234802, 0.34338441491127014]]  lables [0]
outputs [[0.3318057358264923, 0.3229241669178009, 0.3452700674533844]]  lables [0]
outputs [[0.33502161502838135, 0.30103811621665955, 0.3639403283596039]]  lables [1]
outputs [[0.3287872076034546, 0.32278549671173096, 0.34842729568481445]]  lables [2]
outputs [[0.3324020802974701, 0.3179281949996948, 0.3496696650981903]]  lables [2]
outputs [[0.3383580446243286, 0.33355817198753357, 0.32808375358581543]]  lables [1]
outputs [[0.33816009759902954, 0.3189663887023926, 0.3428735136985779]]  lables [1]
outputs [[0.3332342803478241, 0.3291863799095154, 0.33757930994033813]]  lables [2]
outputs [[0.3346468210220337, 0.3241254389286041, 0.3412277102470398]]  lables [2]
outputs [[0.33598706126213074, 0.3217942714691162, 0.34221869707107544]]  lables [2]
outputs [[0.3309782147407532, 0.3299846351146698, 0.3390371799468994]]  lables [0]
outputs [[0.32881492376327515, 0.3335292935371399, 0.33765581250190735]]  lables [0]
outputs [[0.33102408051490784, 0.3268336355686188, 0.3421422839164734]]  lables [2]
outputs [[0.3351860046386719, 0.32198312878608704, 0.3428308367729187]]  lables [1]
outputs [[0.3274739384651184, 0.326999694108963, 0.3455263376235962]]  lables [1]
outputs [[0.33686694502830505, 0.3247188329696655, 0.3384142220020294]]  lables [1]
outputs [[0.33767497539520264, 0.33927759528160095, 0.3230474293231964]]  lables [1]
outputs [[0.33283689618110657, 0.3212924599647522, 0.34587064385414124]]  lables [0]
outputs [[0.3315368890762329, 0.33088418841362, 0.33757898211479187]]  lables [2]
outputs [[0.33360597491264343, 0.3205344080924988, 0.3458596169948578]]  lables [2]
outputs [[0.3359912633895874, 0.3206386864185333, 0.3433700203895569]]  lables [2]
outputs [[0.32994046807289124, 0.33603405952453613, 0.33402547240257263]]  lables [2]
outputs [[0.3316890299320221, 0.3310337960720062, 0.3372771441936493]]  lables [2]
outputs [[0.3313311040401459, 0.31382957100868225, 0.3548392951488495]]  lables [0]
outputs [[0.3327275216579437, 0.32203784584999084, 0.34523463249206543]]  lables [1]
outputs [[0.32702702283859253, 0.3220939040184021, 0.350879043340683]]  lables [0]
outputs [[0.3322715163230896, 0.324849009513855, 0.3428795039653778]]  lables [1]
outputs [[0.3287646174430847, 0.33484548330307007, 0.3363898992538452]]  lables [0]
outputs [[0.34007346630096436, 0.32770419120788574, 0.3322223722934723]]  lables [0]
outputs [[0.33101221919059753, 0.33395645022392273, 0.33503133058547974]]  lables [0]
outputs [[0.3288370668888092, 0.3269083797931671, 0.3442545235157013]]  lables [0]
outputs [[0.3290894627571106, 0.32579678297042847, 0.34511375427246094]]  lables [0]
outputs [[0.32878023386001587, 0.3231927454471588, 0.3480270206928253]]  lables [0]
outputs [[0.33213651180267334, 0.32805269956588745, 0.3398107886314392]]  lables [0]
outputs [[0.3364852964878082, 0.3283381164073944, 0.33517661690711975]]  lables [0]
outputs [[0.334199994802475, 0.3225882053375244, 0.3432117700576782]]  lables [1]
outputs [[0.333151251077652, 0.32795363664627075, 0.33889511227607727]]  lables [2]
outputs [[0.3331712782382965, 0.32316166162490845, 0.34366708993911743]]  lables [2]
outputs [[0.335074245929718, 0.3257850408554077, 0.3391406834125519]]  lables [0]
outputs [[0.3334905803203583, 0.31264373660087585, 0.35386568307876587]]  lables [2]
outputs [[0.330631822347641, 0.32662197947502136, 0.34274619817733765]]  lables [0]
outputs [[0.32946863770484924, 0.3294437527656555, 0.34108757972717285]]  lables [0]
outputs [[0.3377048373222351, 0.32878121733665466, 0.33351391553878784]]  lables [0]
Train - epoch: 0 batch: 2 loss: 1.0942474603652954
outputs [[0.333161324262619, 0.325553297996521, 0.3412854075431824]]  lables [1]
outputs [[0.33434125781059265, 0.3251529037952423, 0.34050583839416504]]  lables [2]
outputs [[0.333551824092865, 0.33185648918151855, 0.33459165692329407]]  lables [2]
outputs [[0.3252144455909729, 0.33253785967826843, 0.34224772453308105]]  lables [2]
outputs [[0.3301765024662018, 0.33240562677383423, 0.337417870759964]]  lables [2]
outputs [[0.33947452902793884, 0.32767510414123535, 0.3328503370285034]]  lables [1]
outputs [[0.33463677763938904, 0.31939825415611267, 0.3459649980068207]]  lables [2]
outputs [[0.33615055680274963, 0.3246389329433441, 0.3392104506492615]]  lables [2]
outputs [[0.33769357204437256, 0.32018184661865234, 0.3421245813369751]]  lables [2]
outputs [[0.32850778102874756, 0.316119909286499, 0.35537227988243103]]  lables [0]
outputs [[0.33370181918144226, 0.3280489146709442, 0.33824923634529114]]  lables [1]
outputs [[0.32942304015159607, 0.3279864192008972, 0.3425905108451843]]  lables [2]
outputs [[0.3372062146663666, 0.3180263936519623, 0.344767302274704]]  lables [0]
outputs [[0.3297332227230072, 0.3214899003505707, 0.34877684712409973]]  lables [2]
outputs [[0.338217556476593, 0.32165753841400146, 0.3401249647140503]]  lables [2]
outputs [[0.3376656174659729, 0.32544371485710144, 0.33689069747924805]]  lables [0]
outputs [[0.33222076296806335, 0.3134729266166687, 0.35430634021759033]]  lables [0]
outputs [[0.3238702416419983, 0.33340612053871155, 0.3427235782146454]]  lables [1]
outputs [[0.3317120373249054, 0.3252105712890625, 0.3430773913860321]]  lables [1]
outputs [[0.3369064927101135, 0.3278198838233948, 0.3352735638618469]]  lables [2]
outputs [[0.3321424126625061, 0.3253391683101654, 0.3425184190273285]]  lables [0]
